,links
0,https://g1.globo.com/tecnologia/noticia/2023/07/31/x-gigante-e-retirado-do-topo-do-predio-do-twitter-apos-reclamacoes-de-vizinhos.ghtml
1,https://g1.globo.com/tecnologia/noticia/2023/07/31/x-gigante-de-led-no-topo-do-predio-do-twitter-incomoda-vizinhanca-e-autoridades-abrem-investigacao-video.ghtml
2,https://g1.globo.com/tecnologia/noticia/2023/07/29/cidade-de-sao-francisco-investiga-violacao-de-instalacao-do-logotipo-x-no-topo-do-predio-do-twitter.ghtml
3,https://g1.globo.com/tecnologia/noticia/2023/07/28/icone-do-twitter-vira-x-no-app-para-android-e-usuarios-reclamam.ghtml
4,https://g1.globo.com/empreendedorismo/noticia/2023/07/26/de-twitter-para-x-no-mundo-das-pequenas-empresas-quando-vale-a-pena-trocar-de-logo.ghtml
5,https://g1.globo.com/tecnologia/noticia/2023/07/25/meta-e-microsoft-tem-registros-da-marca-x-twitter-pode-ser-processado.ghtml
6,https://g1.globo.com/tecnologia/noticia/2023/07/25/alem-do-x-veja-10-mudancas-no-twitter-sob-o-comando-de-elon-musk.ghtml
7,https://g1.globo.com/tecnologia/noticia/2023/07/24/novo-logo-do-twitter-vira-meme-nas-redes-sociais.ghtml
8,https://g1.globo.com/tecnologia/noticia/2023/07/24/novo-logo-do-twitter-e-revelado.ghtml
9,https://g1.globo.com/tecnologia/noticia/2023/07/23/fim-do-passaro-azul-elon-musk-diz-que-mudara-a-logo-do-twitter.ghtml
10,https://g1.globo.com/tecnologia/noticia/2023/07/15/musk-diz-que-twitter-perdeu-50percent-da-receita-de-publicidade-e-continua-com-caixa-negativo.ghtml
11,https://g1.globo.com/tecnologia/noticia/2023/07/09/demissoes-em-massa-verificado-pago-limite-de-leitura-e-mais-tudo-que-elon-musk-fez-no-twitter-ate-agora.ghtml
12,https://g1.globo.com/tecnologia/noticia/2023/07/06/linda-yaccarino-ceo-do-twitter-diz-que-rede-social-e-insubstituivel-muitas-vezes-somos-imitados.ghtml
13,https://g1.globo.com/tecnologia/noticia/2023/07/06/o-threads-pode-ser-uma-ameaca-real-ao-twitter.ghtml
14,https://g1.globo.com/tecnologia/noticia/2023/07/05/instagram-threads-rival-twitter.ghtml
15,https://g1.globo.com/tecnologia/noticia/2023/07/03/meta-se-prepara-para-lancar-threads-que-deve-competir-com-o-twitter.ghtml
16,https://g1.globo.com/tecnologia/noticia/2023/07/03/twitter-diz-que-usuarios-precisam-ser-verificados-para-acessar-tweetdeck.ghtml
17,https://g1.globo.com/economia/tecnologia/noticia/2023/07/02/o-que-mudou-no-twitter-desde-que-elon-musk-comprou-a-empresa.ghtml
18,https://g1.globo.com/tecnologia/noticia/2023/07/01/twitter-define-limite-em-meio-a-briga-de-musk-com-chatgpt-e-outros-robos-contra-raspagem-de-dados-entenda.ghtml
19,https://g1.globo.com/tecnologia/noticia/2023/07/01/vou-ter-que-trabalhar-usuarios-do-twitter-debocham-de-limite-decretado-por-elon-musk-veja-memes.ghtml
20,https://g1.globo.com/tecnologia/noticia/2023/07/01/twitter-tem-erro-de-taxa-limite-excedida-entenda-o-que-significa.ghtml
21,https://g1.globo.com/tecnologia/noticia/2023/06/22/donos-do-twitter-e-da-meta-se-desafiam-para-uma-luta.ghtml
22,https://g1.globo.com/tecnologia/noticia/2023/06/09/os-planos-da-meta-para-criar-um-rival-do-twitter.ghtml
23,https://g1.globo.com/tecnologia/noticia/2023/06/02/diretora-de-seguranca-do-twitter-pede-demissao-da-rede-social-diz-agencia.ghtml
24,https://g1.globo.com/tecnologia/noticia/2023/06/02/as-declaracoes-enganosas-ou-falsas-compartilhadas-no-twitter-por-elon-musk.ghtml
25,https://g1.globo.com/mundo/noticia/2023/05/27/twitter-se-retira-do-codigo-europeu-de-boas-praticas-contra-desinformacao.ghtml
26,https://g1.globo.com/tecnologia/noticia/2023/05/26/engenheiro-chefe-do-twitter-pede-demissao-apos-fiasco-em-live-de-musk-com-candidato-republicano.ghtml
27,https://g1.globo.com/tecnologia/noticia/2023/05/13/estou-feliz-em-ajudar-a-transformar-o-twitter-diz-nova-ceo-em-primeira-mensagem-no-cargo.ghtml
28,https://g1.globo.com/tecnologia/noticia/2023/05/12/linda-yaccarino-e-nova-ceo-do-twitter.ghtml
29,https://g1.globo.com/tecnologia/noticia/2023/05/12/musk-escolhe-linda-yaccarino-como-ceo-do-twitter-diz-jornal.ghtml
30,https://g1.globo.com/tecnologia/noticia/2023/05/11/elon-musk-anuncia-nova-ceo-do-twitter.ghtml
31,https://g1.globo.com/tecnologia/noticia/2023/05/09/so-fofoqueiro-tem-la-disse-rita-lee-sobre-twitter-cantora-deixou-legado-de-posts-polemicos-e-engracados-na-rede-social.ghtml
32,https://g1.globo.com/tecnologia/noticia/2023/05/08/twitter-vai-limpar-base-de-usuarios-e-remover-contas-inativas-diz-musk.ghtml
33,https://g1.globo.com/tecnologia/noticia/2023/04/23/o-misterioso-reaparecimento-dos-selos-azuis-em-algumas-das-contas-do-twitter-com-mais-seguidores.ghtml
34,https://g1.globo.com/tecnologia/noticia/2023/04/20/twitter-remove-selo-verificado-de-perfis-notaveis.ghtml
35,https://g1.globo.com/tecnologia/noticia/2023/04/17/twitter-diz-que-vai-mostrar-aviso-quando-tuite-com-discurso-de-odio-tiver-alcance-limitado.ghtml
36,https://g1.globo.com/tecnologia/noticia/2023/04/14/twitter-anuncia-ferramenta-de-monetizacao-para-criadores-e-tuites-de-10-mil-caracteres.ghtml
37,https://g1.globo.com/tecnologia/noticia/2023/04/12/meu-cachorro-e-o-ceo-do-twitter-cortamos-80percent-da-equipe-diz-musk-sobre-a-empresa-em-entrevista-a-bbc.ghtml
38,https://g1.globo.com/economia/tecnologia/noticia/2023/04/12/elon-musk-diz-a-bbc-que-ser-dono-do-twitter-tem-sido-muito-doloroso.ghtml
39,https://g1.globo.com/tecnologia/noticia/2023/04/12/em-entrevista-musk-diz-que-e-doloroso-ser-dono-do-twitter-e-nega-aumento-de-discurso-de-odio-na-plataforma.ghtml
40,https://g1.globo.com/tecnologia/noticia/2023/04/11/twitter-mantem-ativas-contas-que-compartilham-conteudos-sobre-ataques-a-escolas-no-brasil.ghtml
41,https://g1.globo.com/tecnologia/noticia/2023/04/10/bbc-rejeita-selo-de-midia-financiada-pelo-governo-no-twitter-e-cobra-mudanca-a-elon-musk.ghtml
42,https://g1.globo.com/tecnologia/noticia/2023/04/07/musk-volta-a-colocar-simbolo-do-passarinho-no-logo-do-twitter.ghtml
43,https://g1.globo.com/tecnologia/noticia/2023/04/04/musk-troca-novamente-logo-do-twitter.ghtml
44,https://g1.globo.com/tecnologia/noticia/2023/04/03/twitter-troca-imagem-do-passaro-pelo-dogecoin-mudanca-repentina-de-logo-da-rede-social-ainda-e-misterio-mas-faz-valor-de-criptomoeda-disparar.ghtml
45,https://g1.globo.com/tecnologia/noticia/2023/04/02/the-new-york-times-anuncia-que-nao-vai-pagar-por-verificacao-no-twitter.ghtml
46,https://g1.globo.com/tecnologia/noticia/2023/04/01/twitter-comeca-a-eliminar-selo-verificado-gratis-para-perfis-notaveis.ghtml
